shopping_mall_id,shopping_mall
1,"galeries lafayette"
2,"the dubai mall"
3,"robinsons place manila"
4,"chadstone shopping centre"
5,"lotte world mall"
6,"oasis mall"
7,"mall of america"
8,"nanjing deji plaza"
9,"galleria mall"
10,"forum istanbul"
11,"la rinascente"
12,"the mall at millenia"
13,"forum istanbul"
14,"kuala lumpur city centre (klcc)"
15,"chadstone shopping centre"
16,"marina bay sands shopping mall"
17,kanyon
18,"south coast plaza"
19,"prada store tokyo"
20,"galleria vittorio emanuele ii"
21,"istanbul cevahir avm"
22,kanyon
23,"faisalabad mall"
24,"the dubai mall"
25,"mall of the emirates"
26,"dubai mall"
27,"the grove"
28,"centro santa fe"
29,"dubai mall"
30,"mall of america"
31,takashimaya
32,"the shops at columbus circle"
33,"south coast plaza"
34,"fifth avenue"
35,"the shops at columbus circle"
36,"king abdulaziz center"
37,"the outlets at orange"
38,"galeries lafayette"
39,"the grove"
40,"galleria vittorio emanuele ii"
41,"nanjing deji plaza"
42,"forum istanbul"
43,"nanjing deji plaza"
44,"sm mall of asia"
45,"marina bay sands shopping mall"
46,"king abdulaziz center"
47,"galleria vittorio emanuele ii"
48,"mitsui outlet park"
49,"chadstone shopping centre"
50,"central embassy"
51,"sm seaside city cebu"
52,"moscow mall"
53,vivocity
54,"aventura mall"
55,"central embassy"
56,"aventura mall"
57,"oasis mall"
58,"the shops at columbus circle"
59,kanyon
60,"aventura mall"
61,"zorlu center"
62,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
63,"zorlu center"
64,"westfield parramatta"
65,"the dubai mall"
66,"galeries lafayette"
67,"prada store tokyo"
68,"sm mall of asia"
69,"westfield parramatta"
70,"la rinascente"
71,"galleria vittorio emanuele ii"
72,"kuala lumpur city centre (klcc)"
73,"sm mall of asia"
74,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
75,"tokyo midtown"
76,"plaza satÃƒÂ©lite"
77,"sm mall of asia"
78,"mall of america"
79,kanyon
80,"nanjing deji plaza"
81,takashimaya
82,"dubai mall"
83,"aventura mall"
84,"zorlu center"
85,"galleria vittorio emanuele ii"
86,"centro santa fe"
87,"galleria mall"
88,"galleria mall"
89,"la rinascente"
90,"galleria mall"
91,"galeries lafayette"
92,"galleria mall"
93,"faisalabad mall"
94,"chadstone shopping centre"
95,"galeries lafayette"
96,"the shops at columbus circle"
97,"robinsons galleria"
98,"moscow mall"
99,"central world"
100,"mall of america"
101,"central embassy"
102,"central embassy"
103,"dubai mall"
104,"fifth avenue"
105,"centro santa fe"
106,"beverly center"
107,"robinsons place manila"
108,"westfield parramatta"
109,"king abdulaziz center"
110,"forum istanbul"
111,"faisalabad mall"
112,"moscow mall"
113,"westfield parramatta"
114,"dubai mall"
115,"aventura mall"
116,"king of prussia mall"
117,"dubai mall"
118,"fifth avenue"
119,"istanbul cevahir avm"
120,"the shops at columbus circle"
121,"siam paragon"
122,"pavilion kuala lumpur"
123,"aventura mall"
124,"westfield parramatta"
125,"south coast plaza"
126,"the shops at columbus circle"
127,"central world"
128,"central embassy"
129,"central world"
130,"fifth avenue"
131,"pavilion kuala lumpur"
132,"kuala lumpur city centre (klcc)"
133,"istanbul cevahir avm"
134,"the outlets at orange"
135,"robinsons place manila"
136,"sm mall of asia"
137,"marina bay sands shopping mall"
138,"centro santa fe"
139,"lotte world mall"
140,"prada store tokyo"
141,"westfield london"
142,"the grove"
143,"galeries lafayette"
144,"westfield london"
145,"westfield london"
146,"korsh mall"
147,"dubai mall"
148,"the outlets at orange"
149,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
150,"kuala lumpur city centre (klcc)"
151,"faisalabad mall"
152,"galleria vittorio emanuele ii"
153,"the dubai mall"
154,"fifth avenue"
155,"tokyo midtown"
156,"centro coyoacÃƒÂ¡n"
157,"faisalabad mall"
158,"aventura mall"
159,"the shops at columbus circle"
160,"aventura mall"
161,"korsh mall"
162,"chadstone shopping centre"
163,"robinsons place manila"
164,"sm seaside city cebu"
165,kanyon
166,"central world"
167,"central world"
168,"kuala lumpur city centre (klcc)"
169,"the dubai mall"
170,"lujiazui shopping mall"
171,"sm mall of asia"
172,"lujiazui shopping mall"
173,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
174,"fifth avenue"
175,"dubai mall"
176,"galleria mall"
177,"westfield london"
178,"galeries lafayette"
179,"lotte world mall"
180,"pavilion kuala lumpur"
181,"oasis mall"
182,"oasis mall"
183,"westfield world trade center"
184,"moscow mall"
185,"the dubai mall"
186,kanyon
187,kanyon
188,"prada store tokyo"
189,"robinsons place manila"
190,"dubai mall"
191,"nanjing deji plaza"
192,"the shops at columbus circle"
193,"plaza satÃƒÂ©lite"
194,takashimaya
195,"the dubai mall"
196,"forum istanbul"
197,"zorlu center"
198,"mall of america"
199,"lotte world mall"
200,"tokyo midtown"
201,"sm seaside city cebu"
202,"westfield world trade center"
203,"beverly center"
204,"marina bay sands shopping mall"
205,"beverly center"
206,"siam paragon"
207,"dubai mall"
208,"istanbul cevahir avm"
209,takashimaya
210,"galleria vittorio emanuele ii"
