store_id,store_name,shopping_mall
1,"Forever 21","galeries lafayette"
2,Prada,"the dubai mall"
3,Samsung,"robinsons place manila"
4,H&M,"chadstone shopping centre"
5,"Shop the World","lotte world mall"
6,"World Market","oasis mall"
7,Gap,"mall of america"
8,"The Body Shop","nanjing deji plaza"
9,Gap,"galleria mall"
10,"Toys R Us","forum istanbul"
11,Sephora,"la rinascente"
12,"Foot Locker","the mall at millenia"
13,"Disney Store","forum istanbul"
14,"Forever 21","kuala lumpur city centre (klcc)"
15,Sephora,"chadstone shopping centre"
16,"Forever 21","marina bay sands shopping mall"
17,"Forever 21",kanyon
18,Zara,"south coast plaza"
19,MAC,"prada store tokyo"
20,H&M,"galleria vittorio emanuele ii"
21,Gap,"istanbul cevahir avm"
22,Mcdonald's,kanyon
23,Starbucks,"faisalabad mall"
24,Mcdonald's,"the dubai mall"
25,"Taco Bell","mall of the emirates"
26,"Pizza Hut","dubai mall"
27,"Disney Store","the grove"
28,"Hard Rock Cafe","centro santa fe"
29,"The Body Shop","dubai mall"
30,Carrefour,"mall of america"
31,"Toys R Us",takashimaya
32,"Barnes & Noble","the shops at columbus circle"
33,Prada,"south coast plaza"
34,"Ulta Beauty","fifth avenue"
35,Puma,"the shops at columbus circle"
36,Samsung,"king abdulaziz center"
37,H&M,"the outlets at orange"
38,"Sony Store","galeries lafayette"
39,Prada,"the grove"
40,"Microsoft Store","galleria vittorio emanuele ii"
41,H&M,"nanjing deji plaza"
42,MAC,"forum istanbul"
43,Adidas,"nanjing deji plaza"
44,Prada,"sm mall of asia"
45,Adidas,"marina bay sands shopping mall"
46,"Microsoft Store","king abdulaziz center"
47,Mcdonald's,"galleria vittorio emanuele ii"
48,"Ulta Beauty","mitsui outlet park"
49,Hamleys,"chadstone shopping centre"
50,Zara,"central embassy"
51,"Pizza Hut","sm seaside city cebu"
52,"Hard Rock Cafe","moscow mall"
53,"Toys R Us",vivocity
54,Starbucks,"aventura mall"
55,"Toys R Us","central embassy"
56,Mcdonald's,"aventura mall"
57,"World Market","oasis mall"
58,"The Souvenir Shop","the shops at columbus circle"
59,"Hard Rock Cafe",kanyon
60,"Taco Bell","aventura mall"
61,"Taco Bell","zorlu center"
62,MAC,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
63,"Taco Bell","zorlu center"
64,"Forever 21","westfield parramatta"
65,"Ulta Beauty","the dubai mall"
66,MAC,"galeries lafayette"
67,"Toys R Us","prada store tokyo"
68,H&M,"sm mall of asia"
69,"Disney Store","westfield parramatta"
70,Carrefour,"la rinascente"
71,Prada,"galleria vittorio emanuele ii"
72,Adidas,"kuala lumpur city centre (klcc)"
73,Prada,"sm mall of asia"
74,Zara,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
75,Gap,"tokyo midtown"
76,"Forever 21","plaza satÃƒÂ©lite"
77,"Foot Locker","sm mall of asia"
78,Adidas,"mall of america"
79,Prada,kanyon
80,Prada,"nanjing deji plaza"
81,Gap,takashimaya
82,H&M,"dubai mall"
83,H&M,"aventura mall"
84,H&M,"zorlu center"
85,Sephora,"galleria vittorio emanuele ii"
86,"LEGO Store","centro santa fe"
87,Puma,"galleria mall"
88,Prada,"galleria mall"
89,Waterstones,"la rinascente"
90,"Taco Bell","galleria mall"
91,Gap,"galeries lafayette"
92,Waterstones,"galleria mall"
93,"Barnes & Noble","faisalabad mall"
94,"LEGO Store","chadstone shopping centre"
95,"Forever 21","galeries lafayette"
96,"Forever 21","the shops at columbus circle"
97,Mcdonald's,"robinsons galleria"
98,"World Market","moscow mall"
99,MAC,"central world"
100,"Forever 21","mall of america"
101,Prada,"central embassy"
102,"Forever 21","central embassy"
103,Nike,"dubai mall"
104,Prada,"fifth avenue"
105,MAC,"centro santa fe"
106,"Sony Store","beverly center"
107,"Ulta Beauty","robinsons place manila"
108,"Ulta Beauty","westfield parramatta"
109,Waterstones,"king abdulaziz center"
110,Carrefour,"forum istanbul"
111,Mcdonald's,"faisalabad mall"
112,Carrefour,"moscow mall"
113,Hamleys,"westfield parramatta"
114,Hamleys,"dubai mall"
115,"World Market","aventura mall"
116,MAC,"king of prussia mall"
117,"Forever 21","dubai mall"
118,Sephora,"fifth avenue"
119,"Toys R Us","istanbul cevahir avm"
120,"Disney Store","the shops at columbus circle"
121,H&M,"siam paragon"
122,"The Body Shop","pavilion kuala lumpur"
123,Prada,"aventura mall"
124,"The Body Shop","westfield parramatta"
125,Gap,"south coast plaza"
126,Sephora,"the shops at columbus circle"
127,"The Body Shop","central world"
128,"Ulta Beauty","central embassy"
129,Samsung,"central world"
130,"Best Buy","fifth avenue"
131,Prada,"pavilion kuala lumpur"
132,Adidas,"kuala lumpur city centre (klcc)"
133,Mcdonald's,"istanbul cevahir avm"
134,"The Body Shop","the outlets at orange"
135,Adidas,"robinsons place manila"
136,"The Souvenir Shop","sm mall of asia"
137,Mcdonald's,"marina bay sands shopping mall"
138,"Taco Bell","centro santa fe"
139,Carrefour,"lotte world mall"
140,"LEGO Store","prada store tokyo"
141,"Toys R Us","westfield london"
142,"LEGO Store","the grove"
143,"The Souvenir Shop","galeries lafayette"
144,"World Market","westfield london"
145,"The Souvenir Shop","westfield london"
146,MAC,"korsh mall"
147,"Forever 21","dubai mall"
148,H&M,"the outlets at orange"
149,Puma,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
150,"Best Buy","kuala lumpur city centre (klcc)"
151,MAC,"faisalabad mall"
152,Zara,"galleria vittorio emanuele ii"
153,Prada,"the dubai mall"
154,Samsung,"fifth avenue"
155,Gap,"tokyo midtown"
156,Gap,"centro coyoacÃƒÂ¡n"
157,"Sony Store","faisalabad mall"
158,H&M,"aventura mall"
159,"Pizza Hut","the shops at columbus circle"
160,"Disney Store","aventura mall"
