invoice_no,customer_id,gender,age,category,shopping_mall,country,quantity,price,payment_method,invoice_date,total_cost,normalized_spending,season,age_group,store_name
I110168,C233489,0,64,Clothing,galeries lafayette,France,4,1200.32,Cash,08/03/2023,4801.28,0.182905905,Spring,36+,Forever 21
I249193,C123400,0,62,Clothing,the dubai mall,UAE,3,900.24,Debit Card,08/03/2023,2700.72,0.102884571,Spring,36+,Prada
I106086,C295681,1,31,Technology,robinsons place manila,Philippines,3,3150,Credit Card,08/03/2023,9450,0.36,Spring,26-35,Samsung
I200791,C743303,1,66,Clothing,chadstone shopping centre,Australia,1,300.08,Cash,08/03/2023,300.08,0.011431619,Spring,36+,Zara
I304567,C317897,0,30,Souvenir,lotte world mall,South Korea,2,23.46,Credit Card,08/03/2023,46.92,0.001787429,Spring,26-35,Shop the World
I158445,C297854,0,62,Souvenir,oasis mall,Egypt,4,46.92,Cash,08/03/2023,187.68,0.007149714,Spring,36+,World Market
I158070,C231973,1,51,Clothing,mall of america,USA,1,300.08,Cash,08/03/2023,300.08,0.011431619,Spring,36+,Gap
I155324,C824557,1,39,Cosmetics,nanjing deji plaza,China,2,81.32,Credit Card,08/03/2023,162.64,0.00619581,Spring,36+,The Body Shop
I188834,C118306,1,30,Clothing,galleria mall,Egypt,1,300.08,Debit Card,08/03/2023,300.08,0.011431619,Spring,26-35,Gap
I241905,C223932,0,43,Toys,forum istanbul,Turkey,1,35.84,Credit Card,07/03/2023,35.84,0.001365333,Spring,36+,Toys R Us
I294620,C176791,1,45,Cosmetics,la rinascente,Italy,3,121.98,Credit Card,07/03/2023,365.94,0.013940571,Spring,36+,Sephora
I522392,C774916,1,28,Shoes,the mall at millenia,USA,1,600.17,Debit Card,07/03/2023,600.17,0.022863619,Spring,26-35,Foot Locker
I992454,C196845,0,24,Toys,forum istanbul,Turkey,4,143.36,Cash,07/03/2023,573.44,0.021845333,Spring,18-25,Disney Store
I233007,C346311,1,62,Clothing,kuala lumpur city centre (klcc),Malaysia,1,300.08,Credit Card,07/03/2023,300.08,0.011431619,Spring,36+,Forever 21
I144412,C261316,0,32,Cosmetics,chadstone shopping centre,Australia,1,40.66,Cash,07/03/2023,40.66,0.001548952,Spring,26-35,Sephora
I304606,C316806,0,64,Clothing,marina bay sands shopping mall,Singapore,4,1200.32,Cash,07/03/2023,4801.28,0.182905905,Spring,36+,Forever 21
I813748,C568348,1,36,Clothing,kanyon,Turkey,3,900.24,Debit Card,07/03/2023,2700.72,0.102884571,Spring,36+,Forever 21
I544427,C501752,1,45,Clothing,south coast plaza,USA,4,1200.32,Cash,07/03/2023,4801.28,0.182905905,Spring,36+,Zara
I155159,C122471,1,27,Cosmetics,prada store tokyo,Japan,4,162.64,Cash,07/03/2023,650.56,0.024783238,Spring,26-35,MAC
I153262,C151884,1,56,Clothing,galleria vittorio emanuele ii,Italy,2,600.16,Credit Card,07/03/2023,1200.32,0.045726476,Spring,36+,H&M
I288734,C993876,1,38,Clothing,istanbul cevahir avm,Turkey,4,1200.32,Debit Card,07/03/2023,4801.28,0.182905905,Spring,36+,Gap
I287643,C179647,0,50,Food & Beverage,kanyon,Turkey,1,5.23,Credit Card,07/03/2023,5.23,0.000199238,Spring,36+,Mcdonald's
I298023,C828402,0,64,Food & Beverage,faisalabad mall,Pakistan,1,5.23,Cash,06/03/2023,5.23,0.000199238,Spring,36+,Starbucks
I653897,C177382,0,54,Food & Beverage,the dubai mall,UAE,1,5.23,Cash,06/03/2023,5.23,0.000199238,Spring,36+,Mcdonald's
I178791,C115699,1,57,Food & Beverage,mall of the emirates,UAE,2,10.46,Credit Card,06/03/2023,20.92,0.000796952,Spring,36+,Taco Bell
I310485,C265388,1,28,Food & Beverage,dubai mall,UAE,4,20.92,Credit Card,06/03/2023,83.68,0.00318781,Spring,26-35,Pizza Hut
I212437,C241260,1,49,Toys,the grove,USA,2,71.68,Debit Card,06/03/2023,143.36,0.005461333,Spring,36+,Disney Store
I203460,C261374,1,52,Souvenir,centro santa fe,Mexico,1,11.73,Cash,06/03/2023,11.73,0.000446857,Spring,36+,Hard Rock Cafe
I325256,C138279,1,49,Cosmetics,dubai mall,UAE,3,121.98,Credit Card,06/03/2023,365.94,0.013940571,Spring,36+,The Body Shop
I562016,C307023,1,63,Food & Beverage,mall of america,USA,5,26.15,Cash,06/03/2023,130.75,0.004980952,Spring,36+,Carrefour
I228331,C231610,0,34,Toys,takashimaya,Japan,1,35.84,Debit Card,06/03/2023,35.84,0.001365333,Spring,26-35,Toys R Us
I270097,C328545,1,52,Books,the shops at columbus circle,USA,3,45.45,Debit Card,06/03/2023,136.35,0.005194286,Spring,36+,Barnes & Noble
I334490,C501967,1,56,Clothing,south coast plaza,USA,1,300.08,Cash,06/03/2023,300.08,0.011431619,Spring,36+,Prada
I251509,C213824,0,66,Cosmetics,fifth avenue,USA,2,81.32,Credit Card,06/03/2023,162.64,0.00619581,Spring,36+,Ulta Beauty
I218944,C533967,1,51,Shoes,the shops at columbus circle,USA,4,2400.68,Cash,06/03/2023,9602.72,0.365817905,Spring,36+,Puma
